VENDEDOR	CLIENTE	ROTULO	Pedido de Venda	Status OP	DESCRICAO	OP	COD.CAPACIDADE	CAPACIDADE	TIPO	DATA ENTRADA	DATA PREPARACAO	DATA LITOGRAFIA	DATA MONSTAGEM	DATA ENTREGA	QUANTIDADE PEDIDO	QTDE FOLHAS	QTDE POR FOLHA	VERNIZ.INT 01	VERNIZ.INT 02	ESMALTE	REVESTIMENTO	VERNIZ.ACABAMENTO	PREPARACAO	1a.COR	2a.COR	3a.COR	4a.COR	5a.COR	6a.COR	7a.COR	8a.COR	LITOGRAFIA	FECHAMENTO	Neck IN	Qtde.OP	Qtde.Faturada	Data Faturada	Nota Fiscal	Saldo.OP	OP.Faturada	Estado.Entrega	Cidade Entrega	OBS. da OP	Fechamento	Verniz CP	Verniz TP	Verniz FD	Verniz ARG	Total.Fat	Status Pela Tolerancia
DALTON	TINTAS ANTARES LTDA	361.0530.02.0	30912013	Finalizada	3,6S- ANTARES ESMALTE SINTETICO MAD/METAIS	46992013	361	GALÃO-S.	LATA	23/01/2013	18/02/2013	22/02/2013	23/02/2013	25/02/2013	3000	788	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		MAGENTA EUROPA	AMARELO EUROPA	AZUL EUROPA	PRETO						FA	SIM	3000	2758	26/02/2013	21955	242	46992013	ES	BARRA SÃO FRANCISCO			NAT	VEX	VEX	VEX	2758	Finalizada
DALTON	TINTAS ANTARES LTDA	141.0530.02.0	30912013	Finalizada	¼GLS- ANTARES ESMALTE SINTETICO MAD/METAIS	47002013	141	¼  (S).	LATA	23/01/2013	18/02/2013	22/02/2013	23/02/2013	25/02/2013	6000	450	14			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	PRETO	LARANJA RILAPLAST	MAGENTA EUROPA	AMARELO EUROPA					FA	SIM	6000	5300	27/02/2013	21978	700	47002013	ES	BARRA SÃO FRANCISCO			NAT	VEX	VEX	VEX	5300	Finalizada
DALTON	TINTAS ANTARES LTDA	900.0530.01.0	30912013	Finalizada	900ML- CONDOR  THINNER 0100  COMUM	47012013	900	900ML-83,5.	LATA	23/01/2013	18/02/2013	22/02/2013	23/02/2013	25/02/2013	8000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO ESCALA	PRETO	LARANJA RILAPLAST	AZUL EUROPA	MAGENTA EUROPA					Ø24	NÃO	8000	7635	27/02/2013	21978	365	47012013	ES	BARRA SÃO FRANCISCO			NAT	VEX	VEX		7635	Finalizada
DALTON	TINTAS ANTARES LTDA	900.0530.05.0	30912013	Finalizada	900ML- CONDOR  RAS  1200	47022013	900	900ML-83,5.	LATA	23/01/2013	18/02/2013	22/02/2013	23/02/2013	25/02/2013	8000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	MAGENTA EUROPA	AMARELO EUROPA	AZUL PREPARADO	VERDE PREPARADO	PRETO				Ø24	NÃO	8000	7253	26/02/2013	21955	747	47022013	ES	BARRA SÃO FRANCISCO		SOLDA	NAT	VEX	VEX		7253	Finalizada
DALTON	TINTAS ANTARES LTDA	141.0530.04.0	30912013	Finalizada	¼GLS- ANTARES COMPLEMENTOS AUTOMO. S/VZ	47032013	141	¼  (S).	LATA	23/01/2013	18/02/2013	22/02/2013	23/02/2013	25/02/2013	8000	600	14			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	MAGENTA BERTONCINI	PRETO	AMARELO EUROPA						FA	SIM	8000	6366	27/02/2013	21978	1634	47032013	ES	BARRA SÃO FRANCISCO			NAT	VEX	VEX	VEX	6366	Finalizada
DALTON	SS SOLUCOES  EM  EMBALAGENS	360.1540.05.0	31092013	Finalizada	3,6A- NATURAL S/VZ  SEM ALCA	47042013	360	GALÃO-A.	LATA	24/01/2013	23/01/2013	27/01/2013	28/01/2013	30/01/2013	2000	0	0				SEM VZ INTERNO												FA	NÃO	2000	1667	08/02/2013	21532	333	47042013	SP	DESCALVADO	GALÃO MAIS ALTO - ALTURA 361mm	AGRAFADO	NAT	NAT	NAT	NAT	1667	Finalizada
ROGERIO BARRETO MARTINS	NATRIELLI QUIMICA LTDA	450.0167.08.0	31162013	Finalizada	450ML- NATRIELLI  THINNER  PORTA CANETAS	47052013	450	450ML-73,3.	LATA	24/01/2013	19/01/2013	23/01/2013	24/01/2013	26/01/2013	1000	0	0			ESM. AMARELO NATRIELLI	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO								Porta Canetas	NÃO	1000				1000		SP	SANTANA DE PARNAIBA			NAT		VEX		0	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	361.0291.01.1	31172013	Finalizada	3,6S- SOLVENTEX  INDUSTRIAL  AZUL	47062013	361	GALÃO-S.	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	1104	290	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	AZUL INDUSTRIAL NOVO	PRETO INTENSO							FA	SIM	1104	598	28/01/2013	21249	506	47062013	SP	SÃO PAULO		SOLDA	NAT	VEX	VEX	VEX	1118	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	361.0291.01.1	31172013	Finalizada	3,6S- SOLVENTEX  INDUSTRIAL  AZUL	47062013	361	GALÃO-S.	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013																						520	29/01/2013	21276	-14		SP	SÃO PAULO		SOLDA	NAT	VEX	VEX	VEX	1118	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	361.0291.02.1	31172013	Finalizada	3,6S- SOLVENTEX  ZARCOTEX  MARROM	47072013	361	GALÃO-S.	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	1656	435	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	MARROM SOLVENTEX	PRETO INTENSO							FA	SIM	1656	1702	28/01/2013	21249	-46	47072013	SP	SÃO PAULO		SOLDA	NAT	VEX	VEX	VEX	1702	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	361.0291.06.0	31172013	Finalizada	3,6S- SOLVENTEX  PRIMERTEX  CINZA	47082013	361	GALÃO-S.	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	2560	672	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	CINZA PRIMERTEX	PRETO INTENSO							FA	SIM	2560	2615	28/01/2013	21249	-55	47082013	SP	SÃO PAULO			NAT	VEX	VEX	VEX	2615	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	361.0291.08.1	31172013	Finalizada	3,6S- SOLVENTEX  AMARELA	47092013	361	GALÃO-S.	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	1104	290	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO PREPARADO	OCRE PREPARADO	AZUL TOZAN	VERMELHO LINOVA						FA	SIM	1104	1196	28/01/2013	21249	-92	47092013	SP	SÃO PAULO		SOLDA	NAT	VEX	VEX	VEX	1196	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	361.0291.11.0	31172013	Finalizada	3,6S- SOLVENTEX  GALVANITEX	47102013	361	GALÃO-S.	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	2208	580	4				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO INTENSO	BRANCO OPACO 2ªPASS	BRANCO OPACO	VERMELHO LINOVA						FA	SIM	2208	2277	29/01/2013	21276	-69	47102013	SP	SÃO PAULO		SOLDA	NAT	VEX	VEX	VEX	2277	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	141.0291.01.1	31172013	Finalizada	¼GLS- SOLVENTEX  PRIMERTEX  CINZA	47112013	141	¼  (S).	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	2016	151	14			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	CINZA PRIMERTEX	PRETO INTENSO							FA	SIM	2016	2016	28/01/2013	21249	0	47112013	SP	SÃO PAULO		SOLDA	NAT	VEX	VEX	VEX	2016	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	141.0291.04.0	31172013	Finalizada	¼GLS- SOLVENTEX  GALVANITEX	47122013	141	¼  (S).	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	2016	151	14				SEM VZ INTERNO	ACABAMENTO COMUM		BRANCO OPACO	BRANCO OPACO 2ªPASS	VERMELHO LINOVA	PRETO INTENSO						FA	NÃO	2016	1967	28/01/2013	21249	49	47122013	SP	SÃO PAULO		SOLDA	NAT	VEX	VEX	VEX	1967	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	141.0291.13.0	31172013	Finalizada	¼GLS- SOLVENTEX  ZARCOTEX  MARROM	47132013	141	¼  (S).	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	2016	151	14			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	MARROM SOLVENTEX	PRETO INTENSO							FA	SIM	2016	2051	28/01/2013	21249	-35	47132013	SP	SÃO PAULO		SOLDA	NAT	VEX	VEX	VEX	2051	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	361.0291.26.0	31172013	Finalizada	3,6S- SOLVENTEX  PRIMER  ACABAMENTO CINZA	47142013	361	GALÃO-S.	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	552	145	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	VERMELHO LINOVA	CINZA PREPARADO	PRETO INTENSO						FA	NÃO	552	575	02/02/2013	21379	-23	47142013	SP	SÃO PAULO		SOLDA	NAT	VEX	VEX	VEX	575	Finalizada
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	900.0291.02.0	31182013	Finalizada	900ML- SOLVENTEX  TEX   RAZ	47152013	900	900ML-83,5.	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	1000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	VERMELHO LINOVA	PRETO INTENSO							Ø24	NÃO	1000	1000	05/02/2013	21430	0	47152013	SP	SÃO PAULO		SOLDA	NAT	VEX	VEX		1000	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31212013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47162013	361	GALÃO-S.	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000	4945	29/01/2013	21252	3055	47162013	SP	INDAIATUBA			NAT	VEX	VEX	VEX	8000	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31212013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47162013	361	GALÃO-S.	LATA	24/01/2013	21/01/2013	25/01/2013	26/01/2013	28/01/2013																						3055	31/01/2013	21331	0		SP	INDAIATUBA			NAT	VEX	VEX	VEX	8000	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31222013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47172013	361	GALÃO-S.	LATA	24/01/2013	28/01/2013	01/02/2013	02/02/2013	04/02/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000	8129	01/02/2013	21370	-129	47172013	SP	INDAIATUBA			NAT	VEX	VEX	VEX	8129	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31232013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47182013	361	GALÃO-S.	LATA	24/01/2013	04/02/2013	08/02/2013	09/02/2013	11/02/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000	8096	12/02/2013	21591	-96	47182013	SP	INDAIATUBA			NAT	VEX	VEX	VEX	8096	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31252013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47192013	361	GALÃO-S.	LATA	24/01/2013	11/02/2013	15/02/2013	16/02/2013	18/02/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000				8000		SP	INDAIATUBA			NAT	VEX	VEX	VEX	0	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31282013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47202013	361	GALÃO-S.	LATA	24/01/2013	04/03/2013	08/03/2013	09/03/2013	11/03/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000				8000		SP	INDAIATUBA			NAT	VEX	VEX	VEX	0	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31312013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47212013	361	GALÃO-S.	LATA	24/01/2013	25/03/2013	29/03/2013	30/03/2013	01/04/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000	8548	16/04/2013	23190	-548	47212013	SP	INDAIATUBA			NAT	VEX	VEX	VEX	8548	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31322013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47222013	361	GALÃO-S.	LATA	24/01/2013	01/04/2013	05/04/2013	06/04/2013	08/04/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000	6389	09/04/2013	23006	1611	47222013	SP	INDAIATUBA			NAT	VEX	VEX	VEX	6389	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31262013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47232013	361	GALÃO-S.	LATA	24/01/2013	18/02/2013	22/02/2013	23/02/2013	25/02/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000	8403	26/02/2013	21952	-403	47232013	SP	INDAIATUBA			NAT	VEX	VEX	VEX	8403	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31342013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47242013	361	GALÃO-S.	LATA	24/01/2013	15/04/2013	19/04/2013	20/04/2013	22/04/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000				8000		SP	INDAIATUBA			NAT	VEX	VEX	VEX	0	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31272013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47252013	361	GALÃO-S.	LATA	24/01/2013	25/02/2013	01/03/2013	02/03/2013	04/03/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000	7996	05/03/2013	22095	4	47252013	SP	INDAIATUBA			NAT	VEX	VEX	VEX	7996	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31292013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47262013	361	GALÃO-S.	LATA	24/01/2013	11/03/2013	15/03/2013	16/03/2013	18/03/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000	7812	19/03/2013	22455	188	47262013	SP	INDAIATUBA			NAT	VEX	VEX	VEX	7812	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31332013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47272013	361	GALÃO-S.	LATA	24/01/2013	08/04/2013	12/04/2013	13/04/2013	15/04/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000	7121	18/04/2013	23274	879	47272013	SP	INDAIATUBA			NAT	VEX	VEX	VEX	7121	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31302013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47282013	361	GALÃO-S.	LATA	24/01/2013	18/03/2013	22/03/2013	23/03/2013	25/03/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000	8021	26/03/2013	22667	-21	47282013	SP	INDAIATUBA			NAT	VEX	VEX	VEX	8021	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	31352013	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	47292013	361	GALÃO-S.	LATA	24/01/2013	22/04/2013	26/04/2013	27/04/2013	29/04/2013	8000	2100	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8000				8000		SP	INDAIATUBA			NAT	VEX	VEX	VEX	0	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	008.0003.02.0	31362013	Finalizada	1/8-  ADVANCE  VERMELHO   C/VZ  GRIS Ø42	47302013	8	1/8.	LATA	24/01/2013	22/02/2013	26/02/2013	27/02/2013	01/03/2013	9000	0	0	EPOXI ESMALTE GRIS		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		MAGENTA EUROPA	AMARELO EUROPA	PRETO	AZUL EUROPA						FA	NÃO	9000	8445	06/03/2013	22155	555	47302013	SP	INDAIATUBA		SOLDA	VI	VZ	VZ	VZ	8445	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	008.0003.02.0	31372013	Finalizada	1/8-  ADVANCE  VERMELHO   C/VZ  GRIS Ø42	47312013	8	1/8.	LATA	24/01/2013	25/02/2013	01/03/2013	02/03/2013	04/03/2013	3000	0	0	EPOXI ESMALTE GRIS		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		MAGENTA EUROPA	AMARELO EUROPA	PRETO	AZUL EUROPA						Ø42	NÃO	3000	3000	06/03/2013	22155	0	47312013	SP	INDAIATUBA		SOLDA	VI	VZ	VZ	VZ	3000	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	008.0003.02.0	31382013	Finalizada	1/8-  ADVANCE  VERMELHO   C/VZ  GRIS Ø42	47322013	8	1/8.	LATA	24/01/2013	25/03/2013	29/03/2013	30/03/2013	01/04/2013	9000	0	0	EPOXI ESMALTE GRIS		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		MAGENTA EUROPA	AMARELO EUROPA	PRETO	AZUL EUROPA						FA	NÃO	9000	4920	05/04/2013	22919	4080	47322013	SP	INDAIATUBA		SOLDA	VI	VZ	VZ	VZ	9840	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	008.0003.02.0	31382013	Finalizada	1/8-  ADVANCE  VERMELHO   C/VZ  GRIS Ø42	47322013	8	1/8.	LATA	24/01/2013	25/03/2013	29/03/2013	30/03/2013	01/04/2013																						4920	05/04/2013	22919	-840		SP	INDAIATUBA		SOLDA	VI	VZ	VZ	VZ	9840	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	008.0003.02.0	31392013	Finalizada	1/8-  ADVANCE  VERMELHO   C/VZ  GRIS Ø42	47332013	8	1/8.	LATA	24/01/2013	14/03/2013	18/03/2013	19/03/2013	21/03/2013	3000	0	0	EPOXI ESMALTE GRIS		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		MAGENTA EUROPA	AMARELO EUROPA	PRETO	AZUL EUROPA						Ø42	NÃO	3000	3000	16/04/2013	23198	0	47332013	SP	INDAIATUBA		SOLDA	VI	VZ	VZ	VZ	3000	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.04.0	31402013	Finalizada	3,6A- ADVANCE  AZUL  C/VZ	47342013	361	GALÃO-S.	LATA	24/01/2013	25/01/2013	29/01/2013	30/01/2013	01/02/2013	4000	1050	4	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		AZUL EUROPA	PRETO	MAGENTA EUROPA	AMARELO BANDEIRA						FA	NÃO	4000	4065	01/02/2013	21352	-65	47342013	SP	INDAIATUBA			VI	VZ	VZ	VZ	4065	Finalizada
FABIO	VELUTEX IND. E COM. DE TINTAS LTDA	361.0412.02.0	31492013	Finalizada	3,6S- VELUCOR ESMALTE SINTET. VELUTEX  (DESATIVAR)	47352013	361	GALÃO-S.	LATA	24/01/2013	22/01/2013	26/01/2013	27/01/2013	29/01/2013	5000	1312	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	AMARELO EUROPA	VERMELHO LINOVA	MAGENTA EUROPA						FA	NÃO	5000	5000	11/02/2013	211570	0	47352013	MS	CAMPO GRANDE			NAT	VEX	VEX	VEX	5000	Finalizada
ELENICE MARTIRE	ADELBOR INDUSTRIA E COMERCIO DE BORRACHA  LTDA	900.1540.01.0	31452013	Finalizada	900ML-  NATURAL  (SOJA)	47362013	900	900ML-83,5.	LATA	24/01/2013	19/01/2013	23/01/2013	24/01/2013	26/01/2013	1080	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO									Ø24	NÃO	1080	1080	31/01/2013	21337	0	47362013	RS	GARIBALDE		SOLDA	NAT	VEX	VEX		1080	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.04.0	31412013	Finalizada	3,6A- ADVANCE  AZUL  C/VZ	47372013	361	GALÃO-S.	LATA	24/01/2013	22/02/2013	26/02/2013	27/02/2013	01/03/2013	4000	1050	4	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		AZUL EUROPA	PRETO	MAGENTA EUROPA	AMARELO BANDEIRA						FA	NÃO	4000	4140	05/03/2013	22100	-140	47372013	SP	INDAIATUBA			VI	VZ	VZ	VZ	4140	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	141.0003.03.0	31422013	Finalizada	¼GLS- ADVANCE  VERMELHO.  C/VZ GRIS  Ø42	47382013	141	¼  (S).	LATA	24/01/2013	14/02/2013	18/02/2013	19/02/2013	21/02/2013	9000	675	14	EPOXI ESMALTE GRIS		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		PRETO	AZUL EUROPA	MAGENTA EUROPA	AMARELO EUROPA						Ø42	NÃO	9000	9000	06/03/2013	22132	0	47382013	SP	INDAIATUBA			VI	VZ	VZ		9000	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	141.0003.05.0	31422013	Finalizada	¼GLS- ADVANCE  VERMELHO  C/VZ GRIS  F/A	47392013	141	¼  (S).	LATA	24/01/2013	14/02/2013	18/02/2013	19/02/2013	21/02/2013	3000	225	14	EPOXI ESMALTE GRIS		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		AMARELO EUROPA	MAGENTA EUROPA	PRETO	AZUL EUROPA						FA	NÃO	3000	2370	06/03/2013	22132	630	47392013	SP	INDAIATUBA			VI	VZ	VZ	VZ	2370	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	141.0003.03.0	31432013	Finalizada	¼GLS- ADVANCE  VERMELHO.  C/VZ GRIS  Ø42	47402013	141	¼  (S).	LATA	24/01/2013	29/03/2013	02/04/2013	03/04/2013	05/04/2013	9000	675	14	EPOXI ESMALTE GRIS		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		PRETO	AZUL EUROPA	MAGENTA EUROPA	AMARELO EUROPA						Ø42	NÃO	9000	9168	10/04/2013	23041	-168	47402013	SP	INDAIATUBA			VI	VZ	VZ		9168	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	141.0003.05.0	31432013	Finalizada	¼GLS- ADVANCE  VERMELHO  C/VZ GRIS  F/A	47412013	141	¼  (S).	LATA	24/01/2013	29/03/2013	02/04/2013	03/04/2013	05/04/2013	3000	225	14	EPOXI ESMALTE GRIS		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		AMARELO EUROPA	MAGENTA EUROPA	PRETO	AZUL EUROPA						FA	NÃO	3000	2808	10/04/2013	23041	192	47412013	SP	INDAIATUBA			VI	VZ	VZ	VZ	2808	Finalizada
CLAUDIO FRANCO DA ROCHA	MC DISTR. DE PROD. AUTOMOTIVOS LTDA	361.1540.04.0	31482013	Finalizada	3,6S- CHAPADO   BRANCO  S/VZ	47422013	361	GALÃO-S.	LATA	24/01/2013	23/01/2013	27/01/2013	28/01/2013	30/01/2013	2530	664	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		BRANCO OPACO									FA	NÃO	2530	2530	07/02/2013	21500	0	47422013	GO	GOIANA		SOLDA	NAT	VEX	VEX	VEX	2530	Finalizada
